juno_address,cosmos_address,resp_amount,comment
juno1337gu8scfdfckj5xvk8k9dm79zss0ehg6gl9z7,cosmos1337gu8scfdfckj5xvk8k9dm79zss0ehgv6u79z,1,
juno133p2neshcaqq294yyrymu2rhukmaxaejjk9dze,cosmos133p2neshcaqq294yyrymu2rhukmaxaejyyxk99,10,
juno1344t5ay69ux9htrjaq427aatw3vzm9wdqpjn6m,cosmos1344t5ay69ux9htrjaq427aatw3vzm9wdkn3ga8,40,
juno134dwe84q4kn0wedyce54uz0dh6e06p79hhf5xr,cosmos134dwe84q4kn0wedyce54uz0dh6e06p79p920pl,1,
juno134wqhaj0x04vezgvdru9z7eeq0phv07qtscyxr,cosmos134wqhaj0x04vezgvdru9z7eeq0phv07qazmlpl,2,
juno135zk6pvw7ds3zqmg37nu2m9ud8f50dmesjttrs,cosmos135zk6pvw7ds3zqmg37nu2m9ud8f50dmexqgsyv,6,
juno136fnpjpfsjcs2gvpsppgp3zcruuzn9kwcgwgc5,cosmos136fnpjpfsjcs2gvpsppgp3zcruuzn9kww6dnlg,2,
juno136wsd7a20ylpaek8nmruug6kuhn5mtzm9dlmmg,cosmos136wsd7a20ylpaek8nmruug6kuhn5mtzmnluqu5,30,
juno137hzsw2n0rklw78jxc92pyd86vg42zcnm4j3r9,cosmos137hzsw2n0rklw78jxc92pyd86vg42zcnd832ye,1,
juno137tlv9g4dgm9jq9ucwcd5mpp7w4agtzu4y2pgw,cosmos137tlv9g4dgm9jq9ucwcd5mpp7w4agtzurkf60j,2,
juno1392vmkuqyzy4upqlwuu42nfq004gfgw2pyfwew,cosmos1392vmkuqyzy4upqlwuu42nfq004gfgw2hk247j,350,
juno139ynza30tg4q764fqmzgnhvy2y570s6us5fpsg,cosmos139ynza30tg4q764fqmzgnhvy2y570s6uxx26h5,27,
juno13cxrn8as89yd9nw6y6hegcncw20e7gezpem92d,cosmos13cxrn8as89yd9nw6y6hegcncw20e7gezhtc7d3,21,
juno13d5ztr9ydpfdqwmf5yh4xd5n54ytk0m65c9u4x,cosmos13d5ztr9ydpfdqwmf5yh4xd5n54ytk0m6z2x8j6,4,
